City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,garachico,28.7781,-17.7646,75.31,73,20,26.46,ES,1698671546
314,tadjourah,12.0,42.5,88.11,31,100,12.06,DJ,1698671546
315,juan griego,11.0817,-63.9655,85.06,70,71,9.84,VE,1698671547
316,ocos,14.5094,-92.1933,73.58,83,100,8.9,GT,1698671547
317,cabo san lucas,22.8909,-109.9124,73.76,88,0,4.61,MX,1698671429
318,vorkuta,67.5,64.0,-2.38,99,100,3.8,RU,1698671548
319,alvorada,-12.48,-49.1247,101.12,24,7,3.2,BR,1698671548
320,timimoun,29.2639,0.231,94.78,11,98,9.86,DZ,1698671548
321,isla soyaltepec,18.2117,-96.4839,73.96,89,6,2.89,MX,1698671549
322,kzyltu,53.6364,72.3414,34.66,100,100,2.17,KZ,1698671549
323,tabou,4.423,-7.3528,84.13,68,18,8.16,CI,1698671549
324,tidjikja,18.5564,-11.4271,98.4,8,6,9.62,MR,1698671550
325,puerto lempira,15.2667,-83.7667,82.54,74,20,0.0,HN,1698671471
326,shiguai,40.7058,110.2856,52.83,31,9,9.82,CN,1698671550
327,chernyshevskiy,63.0128,112.4714,2.5,94,99,5.5,RU,1698671550
328,mandalgovi,45.7625,106.2708,32.02,61,27,13.6,MN,1698671551
329,tshabong,-26.05,22.45,90.46,20,82,15.84,BW,1698671551
330,mugia,43.1041,-9.2179,64.17,73,23,24.54,ES,1698671551
331,san patricio,28.017,-97.5169,48.04,70,100,21.56,US,1698671551
332,zyryanskoye,56.8306,86.6258,20.59,81,100,10.29,RU,1698671552
333,dawei,14.0833,98.2,78.53,90,98,4.25,MM,1698671552
334,vilyuchinsk,52.9306,158.4028,38.93,78,100,7.27,RU,1698671552
335,itacarambi,-15.1022,-44.0919,97.11,23,46,5.06,BR,1698671552
336,uruacu,-14.5247,-49.1408,100.18,25,9,2.75,BR,1698671553
337,princeville,45.7668,-61.2985,43.32,90,100,4.45,CA,1698671553
338,malanje,-9.5402,16.341,86.56,41,100,2.66,AO,1698671553
339,fatezh,52.0891,35.8632,60.78,69,100,16.84,RU,1698671553
340,rabaul,-4.1967,152.1721,78.04,89,97,14.85,PG,1698671553
341,mejit,10.2753,170.8646,82.27,82,100,22.03,MH,1698671554
342,tongliao,43.6125,122.2653,44.33,18,25,7.67,CN,1698671554
343,dryden,49.7833,-92.7503,19.69,100,75,5.75,CA,1698671554
344,robore,-18.3333,-59.75,87.89,62,32,20.71,BO,1698671555
345,hotan,37.0997,79.9269,65.26,16,2,5.61,CN,1698671555
346,saldanha,-33.0117,17.9442,65.26,48,0,22.21,ZA,1698671442
347,esquel,-42.9,-71.3167,34.09,91,100,3.47,AR,1698671555
348,kudahuvadhoo,2.6708,72.8944,82.26,70,43,9.06,MV,1698671556
349,happy valley-goose bay,53.3168,-60.3315,31.87,65,42,15.64,CA,1698671556
350,tsiombe,-25.3,45.4833,82.54,52,16,15.43,MG,1698671556
351,polyarnyy,69.1989,33.4478,24.01,94,100,15.93,RU,1698671557
352,brookings,44.3114,-96.7984,21.18,83,0,8.05,US,1698671557
353,island harbour,50.724,-1.2758,58.93,84,98,3.0,GB,1698671557
354,argo,37.6333,22.7333,75.78,39,0,4.16,GR,1698671513
355,puerto deseado,-47.7503,-65.8938,41.43,58,100,22.7,AR,1698671557
356,ceeldheer,3.8488,47.1806,84.02,68,43,10.83,SO,1698671558
357,newman,37.3138,-121.0208,44.29,30,68,2.53,US,1698671558
358,chernyshkovskiy,48.4219,42.2308,56.46,58,0,4.83,RU,1698671558
359,okha,53.5739,142.9478,37.26,69,100,14.81,RU,1698671558
360,manggar,-2.8833,108.2667,82.42,73,55,6.98,ID,1698671559
361,igrim,63.1906,64.4162,16.68,87,97,5.97,RU,1698671559
362,enewetak,11.3474,162.3373,83.71,74,100,17.49,MH,1698671559
363,adrar,20.5022,-10.0711,97.32,8,2,3.06,MR,1698671559
364,zaysan,47.4667,84.8667,52.21,73,100,9.01,KZ,1698671559
365,maintirano,-18.0667,44.0167,82.09,70,1,21.74,MG,1698671559
366,kiunga,-6.1219,141.2906,74.16,99,100,3.44,PG,1698671560
